Type,Full Name,Nickname,AgeMonth,Breed
Dog,Jackson,Pupper,36,Australian Blue Cattle Dog
Cat,Midnight,Keek,228,American Shorthair
Dog,Maxwell Amos,Max,120,Catahoula Leopard
Cat,Angelina,Whitey,60,Unknown
Dog,Margaret Lewis,Maggie,132,Mutt
Dog,Ginger,Geeper Creeper,120,Golden Mix
Dog,Gator,Tate,96,"Mixed - Rottweiler, Irish Setter"
Dog,Badger,Badger,144,Dachshund
Dog,Beauregard,Beau,264,Golden Retriever
Dog,Buffy,Buffy And,96,"Mixed - Beagle, Jack Russell, Cow"
Dog,Duque,Duque,12,Mixes
Dog,Mika,Mika,60,Husky
Dog,Scarlett,Little Girl,96,Border Collie
Dog,Macy,Macy,132,Golden Retriever
Dog,Gromit Walker,Gromit,96,Golden Retriever
Cat,Ms. Kitty,Ms. Kitty,192,Unknown
Dog,Gracie Lou Freebush,Gracie,108,"Mixed - Black Lab, Angel"
Dog,River,River,36,Husky
Ferret,Leo,Lehoe,12,Unknown
Dog,Olaf,Olaf,48,Chihuahua
Dog,Buttons,Buttons ,24,Beagle
Dog,Stevie James,Steve,108,Maltipoo
Dog,Mila,Crusty,168,Rottweiler Mix
Dog,Murphy,Murph,60,Golden Retriever
Cat,Tiger,Tiggy,60,Unknown
Cat,Edna Lou,Breadna,60,Unknown
Cat,Princess Purdy,Purdy,132,Domestic Long Haired
Cat,Squidward,Squid,12,Domestic Short Hair
Dog,Oscar The Amazing Velcrodog,Oscar,144,Terrier Mix
Dog,Poppy,Poppy,48,Shih Tzu
Cat,Daisy Dukerson,Daisy,60,Unknown
Cat,Tigger,Tigger,204,Tabby
Cat,Bubbles,Bubby,72,Unknown
Cat,Prince Charlie,Charlie,132,Domestic Long Haired
Dog,Ellie Mae,Ellie,156,Cocker Spaniel
Dog,Snowy,Snow,132,Shih Tzu
Dog,Bruno,Bruno,48,Border Collie
Cat,Twitch,Twitch,132,Domestic Short Hair
Dog,Mona,Mona,Unknown,Bluetick Beagle
Cat,Harley Davidson,Har Mar,108,Unknown
Cat,Ted Kennedy,Teddy,12,Domestic Short Hair
Dog,Yaz,Yazzy,132,"Mixed - Golden Retriever, Border Collie"
Dog,Princess Leia Organa,Princess,Unknown,Mutt
Dog,Oakley,Oak,36,Shih Tzu
Dog,Tinkerbell,Tinky,48,Chihuahua
Cat,Bella,Bella,48,Maine Coon Mix
Cat,Fup,Fup,120,Unknown
Dog,Beckett,Beckett,108,Golden Retriever
Cat,Fudge,Fubdge,36,Ginger
Cat,Lady Luck,Lucky,132,Domestic Short Hair
Cat,Moose,Moose,48,Maine Coon Mix
Dog,Logan,Logan,120,Black Lab
Dog,Daisy Grace,Daisy,96,Mix
Cat,Leela,The Cat,120,Domestic Short Hair
Cat,Ellie,Ellie phant,108,Calico
Cat,Her Royal Highness The Princess Blaze,Blaze,108,Domestic Short Hair
Cat,Phillipe Robert Jean Luc Tugboat toot! Toot!,Phillipe,48,Manx Cat
Cat,Alexander Dappercat,Alex,108,Domestic Short Hair
Dog,Lila Betterhalf,Lila,156,Greyhound
Cat,Darling,Baby Girl,168,Manx Cat
Cat,Smokey,Mr Moke,144,British Short-hair
Cat,Jezebel,Jez,168,Himalayan
Dog,Tula Jean,Tula,12,Unknown
Cat,Edison D. Cat,Eddie,108,Domestic Short Hair
Cat,Redford,Rasa,144,Unknown
Dog,Odin,Odin,12,Mix
Dog,Annie Piker,Annie,96,Greyhound
Dog,Rusty,Rusty,48,Golden Retriever
Cat,Thomas,tom old Man,216,Domestic Short Hair
Cat,Fleckchen,Monster,84,European Shorthair
Dog,Stella Luna,Stella,48,Labrador RetrieverMix
Cat,Fay Fuller,Fay,36,Unknown
Dog,Pancho Villa,Pacho,144,Pug
Dog,Waldo,Waldo,108,Cockapoo
Cat,Luna,Kuschelmaus,96,European Shorthair
Dog,Yadier,Yadi,48,Golden Retriever
Dog,Ruby Gem,Ruby,48,Terrier Mix
Dog,Buddygus,Buddy,5,Golden Retriever
Dog,Homer,Homie,60,Springer Spaniel
Dog,Pippie,Pippie,24,"Mixed - Pit Bull,  Bassett Hound "
Dog,Parker,NaN,72,Beagle
Dog,Chipper Doodle,Chip,144,Chocolate Lab
Dog,Jack,Jack,84,Labrador Retriever
Dog,Xena Warrior Pinscher,Xena,168,Miniature Pinscher
Dog,Gabby,Gabby,24,Golden Retriever
Dog,Rosebud,Rosie,120,Beagle
Dog,Cooper,Coopee,120,"Mixed - Yorkshire Terrier, poodle"
Dog,Shakota,Shakota,144,Siberian Husky
Dog,Wilbur,Wilby,84,"Mixed - French, English Bulldog"
Dog,Finn T. Dog,Finn,12,Weimaraner
Cat,Wilma,Wilma Jean The Queen,24,Orange Tabby
Dog,Baylee,Baylee Boo,24,Unknown
Dog,Sprocket,Bark,Unknown,Mutt
Cat,Peppercorn Ale,Pepper,168,Unknown
Cat,Stanley,Stan The Handsome Man,12,Orange Tabby
Bird,Ahanu,Ahanu,156,Caique
Dog,Sophie,Sophie,156,Maltese Mix
Dog,Sasha,Chunk,12,"Mixed - Lab, Shepherd"
Bird,Perkins The Parakeer,Perkins,36,Parakeet
Dog,Kookie  Pants,Noodle,180,Jack Russell Terrier
Dog,Miss Maisy Cakes,Maisy,12,Rescue Mutt
Dog,Han Solo,Solo,36,English Cocker Spaniel
Dog,Lillith Anne,Lily,72,Alaskan Husky
Dog,Michelangelo,Mikey,132,English Cocker Spaniel
Dog,Freddie Beagle,Fred,132,Beagle
Dog,Pieper,Pooper,48,Unknown
Betta Fish,Toilet Mimosa Gillan,Togimi,12,Betta
Dog,Jacob,Jake,72,Alaskan Husky
Lizard,Drazil Marie,Drazil,48,Bearded Dragon Lizard
Dog,Titus Augustus,Tidy,108,American Foxhound
Dog,Cirrus,Cirrus,24,Poodle
Dog,Shelby,Shelby,168,Labrador Retriever
Dog,Nimbus,Nimbus,6,Poodle
Dog,Finn,Finn,12,Cavalier King Charles Spaniel
Cat,Kitten Kitten Kittycat,Kitty,168,American Longhair
Dog,Tessie Joan ,Tessie,84,American Foxhound
Dog,Ginger,Ginger,144,Golden Retriever
Dog,Sadie,Sadie,72,Golden Retriever
Dog,Flicka,Flicky,144,Labrador Retriever
Dog,Koda Kingslayer,Koda,24,Golden Retriever
Dog,Flicka,Flicky,144,Labrador Retriever
Dog,Maggie,Ms America,84,Golden Retriever
Dog,Henry ,Henry,12,Brittany
Dog,Megan,Puppy,120,Mutt
Cat,Dantes Infurno,Dante,84,Maine Coon
Cat,Gatsby,Gatsby,2,"Mixed - Stray, Black"
Cat,Tyrone,Tyrone,12,Unknown
Dog,Hopper T. Dog,Hops,72,Golden Retriever
Dog,Snickers,Snickers,120,Beagle Mix
Cat,Tommy Toe,Tommy,36,Unknown
Cat,Wheels,Wheels,192,Unknown
Dog,Venkman,Venk,60,Golden Retriever
Cat,Maisie,Maisie,2,"Mixed - Stray, Black"
Dog,Murphy,Murph,Unknown,Cocker Spaniel
Dog,Maggie,Schmieg,144,Golden Retriever
Cat,Lin Meow Miranda,Lin,36,American Shorthair
Dog,Jasmine,Jasmine,156,Golden Retriever
Dog,Hurley Pearly Sky-sky,Hurley,84,Shih Tzu
Dog,Queso,Queso,168,Golden Retriever
Dog,Breezy Anne,Breezy,60,German Shepherd
Dog,Riley,Riley,84,Golden Retriever
Fish,Fishy Fishy Fishy Iii,Fishy,2,Siamese Fighting Fish
Dog,Homer J,Homer,120,Basenji Mix
Dog,Tucker,Tucker,84,Golden Retriever
Cat,Kitty Vegas,Vegas,72,Domestic Long Haired
Dog,Abby,Abby,36,"Mixed - Pit Bull, Lab, Beagle, Chihuahua , General Mutt"
Dog,Cooper Triple Bogey,Coop,2,Golden Retriever
Dog,Shelby,Shelby,12,"Mixed - Blue Tick Coonhound , Mountain Cur"
Cat,Dr Gaius Baltar,Gusgus,120,Russian Blue
Dog,Oakley Dalton,Oaks,72,Unknown
Dog,Lucy Lou,Goose,108,Golden Retriever
Cat,April,April,168,Unknown
Cat,Vasquez,Vasquez,84,Domestic Shorthair-tortoise
Dog,Niles Crane,Niles,48,Border Collie
Dog,Little Lucky One,Lucky,156,Chihuahua
Dog,Benjamin Sebastian,Benjamin,84,Collie Basset Hound Mix.
Dog,Siris Maximus,Sirius,60,Alaskan Husky
Dog,Blaze,Blaze,60,Labrador Retriever
Dog,Brody,Brody,132,Yorkshire Terrier
Cat,Ripley,Chubby Chubs,48,Domestic Short Hair
Dog,Director Of Chaos,D.O.C.,48,Boxer
Cat,Josh Joshua Joshylin,Josh,72,Tuxedo Cat
Cat,Lisa,Lisa,Unknown,Unknown
Dog,Cody,Codes,132,Golden Retriever
Cat,Nepeta,Nepeta,24,Short Haired
Dog,Emma,Rotta,72,Mittelspitz
Cat,Leeloo Dallas Multipass,Leeloo,108,Laperm
Dog,Isabella Grace,Bella,84,Maltese
Dog,Cookie Boogie,Boogie,36,Unknown
Cat,Cataria,Tarie,24,Unknown
Dog,Salina,Salina,24,Hound Mix
Dog,Theodore James,Theo,60,Maltese
Dog,Ofelia,Ofie Lofie,180,Norwich Terrier
Dog,Hermie,Hermie,42,"Mixed - Chocolate Lab, Pit "
Gecko,Turtle,Turtle,60,Unknown
Dog,Jackson Baines Hardin,Jackson,168,"Mixed - Shepherd, Unknown"
Cat,Tali'zorah Vas Normandy,Tali,108,Laperm
Dog,Rudy,Rudy,144,Black Lab
Guinea Pig,Teddy,Teddy,36,Unknown
Dog,Chuchi,Baby Chu,108,Toy Poodle
Dog,Belle Silver,Bobo,36,Brittany
Goldfish,Fish,Swish,84,Unknown
Dog,Phoebe Buffay,Phoeb,54,Staffordshire Terrier
Dog,Precious Presley,Presley,12,Labrador RetrieverMix
Cat,Boots,Fuckoff,120,Black Cat With White Feet
Dog,Sarah Jessica Parker,Parker,96,Beagle
Dog,Princess Leah,Leah,96,Miniature Schnauzer
Cat,Zeus,Zeus,24,Unknown
Dog,Mr Duke Of Carol Stream,Boo boo,120,Labrador Retriever
Dog,Bruno Mars,Bruno,48,Shih Tzu
Cat,Persephone,Persey,24,Unknown
Dog,Reggie,Reg,96,Border Collie
Cat,Momo,Momo,108,Domestic Short Hair
Dog,Twixie,Gooben,24,Unknown
Dog,Kody,Kode,120,Golden Retriever
Dog,Maverick Clinton,Maverick,120,Labrador Retriever
Cat,Abbey Road,Abbey,36,Domestic Long Haired
Cat,Naga,Naga,72,Domestic Short Hair
Dog,Sven,Bean,60,German Shepherd
